Category 	 ID 	 Algorithm 	 idRun 	 HV 	 Time
C1	03	bd1	10	0.97434	480.57
C1	03	bd1	11	0.99699	401.95
C1	03	bd1	12	0.99598	428.94
C1	03	bd1	13	0.99699	336.48
C1	03	bd1	14	0.99598	402.77
C1	03	bd1	15	0.99699	414.5
C1	03	bd1	16	0.99598	352.66
C1	03	bd1	17	0.99598	361.91
C1	03	bd1	18	0.99598	406.71
C1	03	bd1	19	0.99598	469.31
C1	03	bd1	20	0.99598	396.46
C1	03	bd1	21	0.99598	300.33
C1	03	bd1	22	0.99598	435.17
C1	03	bd1	23	0.99699	386.77
C1	03	bd1	24	0.99598	319.21
C1	03	bd1	25	0.97434	389.26
C1	03	bd1	26	0.99598	535.56
C1	03	bd1	27	0.99598	411.96
C1	03	bd1	28	0.99598	366.8
C1	03	bd1	29	0.99598	278.0
C1	03	bd1	30	0.99699	266.27
C1	03	bd2	1	0.6905	720.77
C1	03	bd2	2	0.80837	456.37
C1	03	bd2	3	0.99598	474.06
C1	03	bd2	4	0.59469	720.73
C1	03	bd2	5	0.84144	622.13
C1	03	bd2	6	0.61173	720.02
C1	03	bd2	7	0.53035	720.7
C1	03	bd2	8	0.6448	720.77
C1	03	bd2	9	0.44395	720.71
C1	03	bd2	10	0.99699	476.17
C1	03	bd2	11	0.80295	388.38
C1	03	bd2	12	0.99598	587.1
C1	03	bd2	13	0.65646	720.24
C1	03	bd2	14	0.3675	720.1
C1	03	bd2	15	0.68203	720.74
C1	03	bd2	16	0.81979	306.19
C1	03	bd2	17	0.97434	467.69
C1	03	bd2	18	0.04947	720.26
C1	03	bd2	19	0.99598	557.52
C1	03	bd2	20	0.8208	641.77
C1	03	bd2	21	0.33303	720.48
C1	03	bd2	22	0.99598	561.09
C1	03	bd2	23	0.78311	720.06
C1	03	bd2	24	0.00637	720.08
C1	03	bd2	25	0.99598	468.85
C1	03	bd2	26	0.57515	720.47
C1	03	bd2	27	0.79935	720.47
C1	03	bd2	28	0.59008	720.19
C1	03	bd2	29	0.97434	466.64
C1	03	bd2	30	0.99598	436.67
C1	03	bd3	1	0.79875	720.68
C1	03	bd3	2	0.54572	720.71
C1	03	bd3	3	0.54739	720.01
C1	03	bd3	4	0.53816	720.07
C1	03	bd3	5	0.99699	391.15
C1	03	bd3	6	0.8204	432.42
C1	03	bd3	7	0.36579	720.04
C1	03	bd3	8	0.99598	441.44
C1	03	bd3	9	0.61113	720.01
C1	03	bd3	10	0.63489	720.09
C1	03	bd3	11	0.5985	720.12
C1	03	bd3	12	0.58888	720.03
C1	03	bd3	13	0.57531	720.47
C1	03	bd3	14	0.42867	720.15
C1	03	bd3	15	0.99598	641.52
C1	03	bd3	16	0.5258	720.04
C1	03	bd3	17	0.14473	720.04
C1	03	bd3	18	0.4211	720.01
C1	03	bd3	19	0.5652	720.01
C1	03	bd3	20	0.47924	720.1
C1	03	bd3	21	0.66266	720.53
C1	03	bd3	22	0.09758	720.12
C1	03	bd3	23	0.28657	720.6
C1	03	bd3	24	0.97535	546.72
C1	03	bd3	25	0.99598	587.46
C1	03	bd3	26	0.29971	720.77
C1	03	bd3	27	0.44636	720.38
C1	03	bd3	28	0.99598	639.85
C1	03	bd3	29	0.0167	720.03
C1	03	bd3	30	0.32079	720.03
C1	03	moeadls	1	0.0	720.56
C1	03	moeadls	2	0.0	720.65
C1	03	moeadls	3	0.0	720.09
C1	03	moeadls	4	0.0	720.65
C1	03	moeadls	5	0.0	720.03
C1	03	moeadls	6	0.0	720.1
C1	03	moeadls	7	0.0	720.72
C1	03	moeadls	8	0.0	720.22
C1	03	moeadls	9	0.0	720.79
C1	03	moeadls	10	0.0	720.06
C1	03	moeadls	11	0.0	720.41
C1	03	moeadls	12	0.0	720.86
C1	03	moeadls	13	0.0	720.55
C1	03	moeadls	14	0.0	720.74
C1	03	moeadls	15	0.0	720.02
C1	03	moeadls	16	0.0	720.5
C1	03	moeadls	17	0.0	720.3
C1	03	moeadls	18	0.0	721.31
C1	03	moeadls	19	0.0	720.25
C1	03	moeadls	20	0.0	720.02
C1	03	moeadls	21	0.0	720.02
C1	03	moeadls	22	0.0	720.76
C1	03	moeadls	23	0.0	720.56
C1	03	moeadls	24	0.0	720.28
C1	03	moeadls	25	0.0	720.85
C1	03	moeadls	26	0.0	720.6
C1	03	moeadls	27	0.0	720.38
C1	03	moeadls	28	0.0	720.44
C1	03	moeadls	29	0.0	720.11
C1	03	moeadls	30	0.0	720.3
C1	04	fbd1	1	0.73035	720.02
C1	04	fbd1	2	0.98768	284.63
C1	04	fbd1	3	0.97753	213.51
